SINGLE PRECISION TESTING
-------------------------------------------------------------------
KERNEL 6: 196608.000000, 0.011232 ms
KERNEL 6: 196608.000000, 0.011264 ms
KERNEL 6: 196608.000000, 0.011264 ms
KERNEL 6: 196608.000000, 0.012192 ms
KERNEL 6: 196608.000000, 0.011264 ms
KERNEL 6: 196608.000000, 0.012288 ms
KERNEL 6: 196608.000000, 0.012288 ms
KERNEL 6: 196608.000000, 0.012288 ms
KERNEL 6: 196608.000000, 0.012288 ms
KERNEL 6: 196608.000000, 0.012416 ms
KERNEL 6: 196608.000000, 0.012896 ms
KERNEL 6: 196608.000000, 0.013312 ms
KERNEL 6: 196608.000000, 0.013312 ms
KERNEL 6: 196608.000000, 0.014144 ms
KERNEL 6: 196608.000000, 0.014048 ms
CUB::REDUCE: 196608.000000, 0.034432 ms
THRUST::REDUCE: 196608.000000, 0.108352 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 262144 (0.001049 GB)
NO THREAD: 393216.000000, 0.733326 ms
THREAD: 393216.000000, 2.997802 ms
KERNEL 1: 393216.000000, 4.580480 ms
KERNEL 2: 393216.000000, 0.369728 ms
KERNEL 3: 393216.000000, 0.041600 ms
KERNEL 4: 393216.000000, 0.033600 ms
KERNEL 5: 393216.000000, 0.031648 ms
KERNEL 6: 393216.000000, 0.032192 ms
KERNEL 6: 393216.000000, 0.013312 ms
KERNEL 6: 393216.000000, 0.013312 ms
KERNEL 6: 393216.000000, 0.013536 ms
KERNEL 6: 393216.000000, 0.015328 ms
KERNEL 6: 393216.000000, 0.014912 ms
KERNEL 6: 393216.000000, 0.011264 ms
KERNEL 6: 393216.000000, 0.011264 ms
KERNEL 6: 393216.000000, 0.016384 ms
KERNEL 6: 393216.000000, 0.016256 ms
KERNEL 6: 393216.000000, 0.025280 ms
KERNEL 6: 393216.000000, 0.014080 ms
KERNEL 6: 393216.000000, 0.014336 ms
KERNEL 6: 393216.000000, 0.050176 ms
KERNEL 6: 393216.000000, 0.014336 ms
KERNEL 6: 393216.000000, 0.016384 ms
CUB::REDUCE: 393216.000000, 0.030720 ms
